log_prefix,action
SSH,allowed
POTENTIAL SCAN,blocked
VPN Connection,allowed
ATTACK,blocked
Splunk MGMT,allowed
TCP DROP,blocked
POTENTIAL UDP FLOOD,blocked
PING DROP,blocked
PING,allowed
allowed,allowed
blocked,blocked
dropped,blocked
ACCEPT,allowed
REJECT,blocked
DROP,blocked
LOG,allowed
CONNECT,allowed
permit,allowed
deny,blocked
drop,blocked
reject,blocked
block,blocked
BLOCK,blocked
ALLOW,allowed
